Neurons,Learning Rate,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean
200,1e-2,42,69.3,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:24.650234,0:00:53.062504,-20.965304579433646
200,1e-2,43,70.9,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:25.822109,0:00:54.234379,-20.96565153363931
200,1e-2,44,68.0,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:26.993984,0:00:55.406254,-20.965995018302916
200,1e-2,45,68.0,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:28.165852,0:00:56.578122,-20.96633506811989
200,1e-2,46,67.3,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:29.337731,0:00:57.750001,-20.96667171743869
200,1e-2,47,68.8,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:30.587732,0:00:59.000002,-20.967005000264304
200,1e-2,48,64.0,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:31.759607,0:01:00.171877,-20.967334950261662
200,1e-2,49,67.3,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:32.931482,0:01:01.343752,-20.967661600759048
200,1e-2,50,69.6,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:34.243977,0:01:02.656247,-20.967984984751457
200,1e-2,51,69.7,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:35.431480,0:01:03.843750,-20.968305134903943
200,1e-2,52,68.2,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:36.587733,0:01:05.000003,-20.968622083554905
200,1e-2,53,64.7,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:37.759609,0:01:06.171879,-20.968935862719356
200,1e-2,54,68.9,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:38.915857,0:01:07.328127,-20.969246504092162
200,1e-2,55,69.3,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:40.087732,0:01:08.500002,-20.96955403905124
200,1e-2,56,70.0,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:41.259607,0:01:09.671877,-20.969858498660727
200,1e-2,57,66.4,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:42.447104,0:01:10.859374,-20.97015991367412
200,1e-2,58,72.3,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:43.603359,0:01:12.015629,-20.970458314537378
200,1e-2,59,65.6,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:44.806477,0:01:13.218747,-20.970753731392005
200,1e-2,60,69.2,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:46.025228,0:01:14.437498,-20.971046194078085
200,1e-2,61,71.3,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:47.197107,0:01:15.609377,-20.971335732137305
200,1e-2,62,65.5,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:48.353357,0:01:16.765627,-20.971622374815933
200,1e-2,63,67.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:49.509607,0:01:17.921877,-20.971906151067774
200,1e-2,64,64.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:50.665852,0:01:19.078122,-20.972187089557096
200,1e-2,65,69.6,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:06:51.822104,0:01:20.234374,-20.972465218661526
200,1e-2,66,67.8,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:52.962729,0:01:21.374999,-20.97274056647491
200,1e-2,67,65.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:54.118980,0:01:22.531250,-20.97301316081016
200,1e-2,68,69.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:55.259607,0:01:23.671877,-20.97328302920206
200,1e-2,69,70.0,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:06:56.587732,0:01:25.000002,-20.97355019891004
200,1e-2,70,66.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:57.790852,0:01:26.203122,-20.97381469692094
200,1e-2,71,69.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:58.931484,0:01:27.343754,-20.974076549951732
200,1e-2,72,68.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:00.087732,0:01:28.500002,-20.974335784452215
200,1e-2,73,66.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:01.243978,0:01:29.656248,-20.974592426607693
200,1e-2,74,67.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:02.384607,0:01:30.796877,-20.974846502341617
200,1e-2,75,67.6,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:07:03.540855,0:01:31.953125,-20.9750980373182
200,1e-2,76,65.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:04.697108,0:01:33.109378,-20.97534705694502
200,1e-2,77,65.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:05.853358,0:01:34.265628,-20.97559358637557
200,1e-2,78,68.0,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:07:06.993981,0:01:35.406251,-20.975837650511814
200,1e-2,79,65.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:08.150230,0:01:36.562500,-20.976079274006697
200,1e-2,80,70.5,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:09.447102,0:01:37.859372,-20.97631848126663
200,1e-2,81,66.9,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:07:10.603352,0:01:39.015622,-20.976555296453967
200,1e-2,82,67.9,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:11.837731,0:01:40.250001,-20.976789743489427
200,1e-2,83,65.8,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:12.978357,0:01:41.390627,-20.977021846054534
200,1e-2,84,64.6,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:14.212731,0:01:42.625001,-20.97725162759399
200,1e-2,85,68.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:15.368982,0:01:43.781252,-20.97747911131805
200,1e-2,86,68.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:16.509604,0:01:44.921874,-20.97770432020487
200,1e-2,87,69.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:17.665857,0:01:46.078127,-20.977927277002824
200,1e-2,88,68.2,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:07:18.822102,0:01:47.234372,-20.978148004232796
200,1e-2,89,66.4,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:19.962731,0:01:48.375001,-20.97836652419047
200,1e-2,90,66.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:21.165850,0:01:49.578120,-20.978582858948567
200,1e-2,91,66.7,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:22.306480,0:01:50.718750,-20.978797030359082
200,1e-2,92,68.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:23.462729,0:01:51.874999,-20.979009060055493
200,1e-2,93,67.8,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:24.603356,0:01:53.015626,-20.979218969454937
200,1e-2,94,68.2,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:07:25.931479,0:01:54.343749,-20.979426779760388
200,1e-2,95,64.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:27.087733,0:01:55.500003,-20.979632511962784
200,1e-2,96,67.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:28.243982,0:01:56.656252,-20.979836186843155
200,1e-2,97,70.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:29.384604,0:01:57.796874,-20.980037824974723
200,1e-2,98,68.9,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:30.540856,0:01:58.953126,-20.980237446724978
200,1e-2,99,68.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:31.681482,0:02:00.093752,-20.980435072257727
200,1e-2,100,65.4,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:32.900226,0:02:01.312496,-20.98063072153515
200,1e-2,101,63.7,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:34.040857,0:02:02.453127,-20.980824414319798
200,1e-2,102,67.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:35.197102,0:02:03.609372,-20.981016170176602
200,1e-2,103,68.5,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:36.337731,0:02:04.750001,-20.981206008474835
200,1e-2,104,68.4,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:37.572108,0:02:05.984378,-20.98139394839009
200,1e-2,105,69.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:38.728350,0:02:07.140620,-20.98158000890619
200,1e-2,106,67.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:39.868983,0:02:08.281253,-20.98176420881713
200,1e-2,107,65.5,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:07:41.025232,0:02:09.437502,-20.981946566728958
200,1e-2,108,65.2,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:42.259606,0:02:10.671876,-20.982127101061668
200,1e-2,109,69.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:43.415858,0:02:11.828128,-20.98230583005105
200,1e-2,110,64.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:44.618974,0:02:13.031244,-20.98248277175054
200,1e-2,111,69.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:45.759605,0:02:14.171875,-20.982657944033036
200,1e-2,112,71.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:46.915857,0:02:15.328127,-20.982831364592705
200,1e-2,113,67.6,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:07:48.072101,0:02:16.484371,-20.983003050946778
200,1e-2,114,66.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:49.228356,0:02:17.640626,-20.98317302043731
200,1e-2,115,69.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:50.368980,0:02:18.781250,-20.983341290232936
200,1e-2,116,66.4,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:51.509611,0:02:19.921881,-20.983507877330606
200,1e-2,117,66.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:52.665855,0:02:21.078125,-20.9836727985573
200,1e-2,118,72.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:53.822110,0:02:22.234380,-20.98383607057173
200,1e-2,119,68.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:54.978354,0:02:23.390624,-20.983997709866014
200,1e-2,120,64.3,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:07:56.181477,0:02:24.593747,-20.984157732767354
200,1e-2,121,68.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:57.337730,0:02:25.750000,-20.984316155439682
200,1e-2,122,69.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:07:58.478359,0:02:26.890629,-20.984472993885287
200,1e-2,123,68.2,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:07:59.634607,0:02:28.046877,-20.984628263946433
200,1e-2,124,66.4,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:00.775230,0:02:29.187500,-20.98478198130697
200,1e-2,125,68.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:01.931486,0:02:30.343756,-20.9849341614939
200,1e-2,126,68.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:03.072109,0:02:31.484379,-20.98508481987896
200,1e-2,127,67.7,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:08:04.306484,0:02:32.718754,-20.98523397168017
200,1e-2,128,64.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:05.462732,0:02:33.875002,-20.98538163196337
200,1e-2,129,65.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:06.603356,0:02:35.015626,-20.98552781564374
200,1e-2,130,67.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:07.806479,0:02:36.218749,-20.9856725374873
200,1e-2,131,67.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:08.962727,0:02:37.374997,-20.985815812112428
200,1e-2,132,69.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:10.103356,0:02:38.515626,-20.985957653991303
200,1e-2,133,65.5,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:08:11.259610,0:02:39.671880,-20.98609807745139
200,1e-2,134,65.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:12.415855,0:02:40.828125,-20.986237096676877
200,1e-2,135,65.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:13.556483,0:02:41.968753,-20.98637472571011
200,1e-2,136,68.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:14.712727,0:02:43.124997,-20.98651097845301
200,1e-2,137,66.7,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:15.931480,0:02:44.343750,-20.98664586866848
200,1e-2,138,68.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:17.087728,0:02:45.499998,-20.986779409981793
200,1e-2,139,72.6,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:08:18.228356,0:02:46.640626,-20.986911615881976
200,1e-2,140,66.3,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:19.525227,0:02:47.937497,-20.987042499723156
200,1e-2,141,66.9,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:20.681478,0:02:49.093748,-20.987172074725926
200,1e-2,142,67.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:21.822102,0:02:50.234372,-20.987300353978668
200,1e-2,143,69.2,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:23.040857,0:02:51.453127,-20.98742735043888
200,1e-2,144,67.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:24.197102,0:02:52.609372,-20.987553076934493
200,1e-2,145,64.4,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:25.337730,0:02:53.750000,-20.98767754616515
200,1e-2,146,68.2,11.7,2022-08-11 18:05:31.587730,2022-08-11 18:08:26.493983,0:02:54.906253,-20.987800770703497
200,1e-2,147,68.0,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:08:27.665858,0:02:56.078128,-20.98792276299646
