Neurons,Learning Rate,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean
200,1e-3,1,58.0,11.5,2022-08-11 05:44:46.252709,2022-08-11 05:44:49.002703,0:00:02.749994,-21.0
200,1e-3,2,65.9,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:44:50.377700,0:00:04.124991,-21.0
200,1e-3,3,67.3,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:44:52.049571,0:00:05.796862,-20.99
200,1e-3,4,65.4,11.5,2022-08-11 05:44:46.252709,2022-08-11 05:44:53.315199,0:00:07.062490,-20.990099999999998
200,1e-3,5,68.1,11.5,2022-08-11 05:44:46.252709,2022-08-11 05:44:54.737077,0:00:08.484368,-20.980199
200,1e-3,6,69.3,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:44:56.033947,0:00:09.781238,-20.98039701
200,1e-3,7,64.3,11.5,2022-08-11 05:44:46.252709,2022-08-11 05:44:57.237081,0:00:10.984372,-20.9805930399
200,1e-3,8,63.2,11.5,2022-08-11 05:44:46.252709,2022-08-11 05:44:58.440195,0:00:12.187486,-20.980787109501
200,1e-3,9,72.3,11.7,2022-08-11 05:44:46.252709,2022-08-11 05:44:59.877699,0:00:13.624990,-20.980979238405993
200,1e-3,10,69.5,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:45:01.362069,0:00:15.109360,-20.981169446021934
200,1e-3,11,68.7,11.7,2022-08-11 05:44:46.252709,2022-08-11 05:45:03.033953,0:00:16.781244,-20.971357751561712
200,1e-3,12,69.0,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:45:04.487078,0:00:18.234369,-20.971644174046094
200,1e-3,13,67.3,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:45:06.112078,0:00:19.859369,-20.931927732305635
200,1e-3,14,67.9,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:45:07.643325,0:00:21.390616,-20.932608454982578
200,1e-3,15,66.9,11.7,2022-08-11 05:44:46.252709,2022-08-11 05:45:09.721449,0:00:23.468740,-20.903282370432752
200,1e-3,16,69.8,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:45:11.143325,0:00:24.890616,-20.894249546728425
200,1e-3,17,66.8,11.7,2022-08-11 05:44:46.252709,2022-08-11 05:45:12.768324,0:00:26.515615,-20.88530705126114
200,1e-3,18,73.1,11.6,2022-08-11 05:44:46.252709,2022-08-11 05:45:14.018322,0:00:27.765613,-20.88645398074853
