Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean
200,1,61.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 15:24:06.763234,0:00:03.765527,-18.0
200,2,65.6,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:08.013235,0:00:05.015528,-18.03
200,3,66.5,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:09.575735,0:00:06.578028,-18.0497
200,4,72.4,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:11.075733,0:00:08.078026,-18.069203
200,5,67.4,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:12.575733,0:00:09.578026,-18.08851097
200,6,69.2,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:13.919486,0:00:10.921779,-18.117625860300002
200,7,69.7,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:15.356983,0:00:12.359276,-18.136449601697002
200,8,71.1,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:16.653861,0:00:13.656154,-18.16508510568003
200,9,71.8,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:18.231980,0:00:15.234273,-18.18343425462323
200,10,69.3,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:19.528853,0:00:16.531146,-18.211599912077
200,11,65.2,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:21.122610,0:00:18.124903,-18.239483912956228
200,12,68.8,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:22.872610,0:00:19.874903,-18.257089073826666
200,13,67.3,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:24.138237,0:00:21.140530,-18.2845181830884
200,14,64.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 15:24:26.372611,0:00:23.374904,-18.301673001257516
200,15,63.6,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:27.638227,0:00:24.640520,-18.32865627124494
200,16,70.0,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:29.044484,0:00:26.046777,-18.355369708532493
200,17,68.4,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:30.403860,0:00:27.406153,-18.381816011447167
200,18,67.7,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:31.653863,0:00:28.656156,-18.407997851332695
200,19,63.0,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:33.091361,0:00:30.093654,-18.433917872819368
200,20,69.9,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:34.856978,0:00:31.859271,-18.459578694091174
200,21,71.5,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:36.310110,0:00:33.312403,-18.484982907150265
200,22,70.7,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:37.669485,0:00:34.671778,-18.510133078078763
200,23,68.0,9.3,2022-08-10 15:24:02.997707,2022-08-10 15:24:39.060114,0:00:36.062407,-18.525031747297973
200,24,70.9,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:40.481985,0:00:37.484278,-18.549781429824993
200,25,66.1,9.4,2022-08-10 15:24:02.997707,2022-08-10 15:24:41.888233,0:00:38.890526,-18.56428361552674
