Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean
2000,1,88.3,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:12:59.666412,0:00:12.812501,-20.0
2000,2,93.6,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:13:10.494535,0:00:23.640624,-20.01
2000,3,94.3,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:13:21.916410,0:00:35.062499,-20.019900000000003
2000,4,94.6,11.6,2022-08-10 15:12:46.853911,2022-08-10 15:13:35.400786,0:00:48.546875,-20.009701000000003
2000,5,94.6,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:13:47.838286,0:01:00.984375,-20.009603990000002
2000,6,94.9,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:13:57.853910,0:01:10.999999,-20.0095079501
2000,7,94.8,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:14:08.853910,0:01:21.999999,-20.019412870599
2000,8,94.2,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:14:19.978913,0:01:33.125002,-20.02921874189301
2000,9,95.2,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:14:30.916410,0:01:44.062499,-20.03892655447408
2000,10,93.9,11.4,2022-08-10 15:12:46.853911,2022-08-10 15:14:40.432032,0:01:53.578121,-20.048537288929342
2000,11,94.5,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:14:53.963286,0:02:07.109375,-20.02805191604005
2000,12,95.0,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:15:04.916411,0:02:18.062500,-20.03777139687965
2000,13,94.5,11.5,2022-08-10 15:12:46.853911,2022-08-10 15:15:15.478911,0:02:28.625000,-20.03739368291085
2000,14,95.0,11.4,2022-08-10 15:12:46.853911,2022-08-10 15:15:25.088286,0:02:38.234375,-20.04701974608174
2000,15,94.4,11.1,2022-08-10 15:12:46.853911,2022-08-10 15:15:34.182038,0:02:47.328127,-20.056549548620925
2000,16,94.4,11.4,2022-08-10 15:12:46.853911,2022-08-10 15:15:46.557035,0:02:59.703124,-20.045984053134717
